first_name,last_name,state,party,district
Lieu,Ted,California,DEMOCRATIC,36
Loeffler,Kelly,Georgia,REPUBLICAN,
Lofgren,Zoe,California,DEMOCRATIC,18
Long,Billy,Missouri,REPUBLICAN,7
Loudermilk,Barry,Georgia,REPUBLICAN,11
Lowenthal,Alan S.,California,DEMOCRATIC,47
Lucas,Frank D.,Oklahoma,REPUBLICAN,3
Luetkemeyer,Blaine,Missouri,REPUBLICAN,3
Lujan,Ben Ray,New Mexico,DEMOCRATIC,
Lummis,Cynthia M.,Wyoming,REPUBLICAN,
Luna,Anna Paulina,Florida,REPUBLICAN,13
Luria,Elaine G.,Virginia,DEMOCRATIC,2
Luttrell,Morgan,Texas,REPUBLICAN,8
Lynch,Stephen F.,Massachusetts,DEMOCRATIC,8
Mace,Nancy,South Carolina,REPUBLICAN,1
Magaziner,Seth,Rhode Island,DEMOCRATIC,2
Malinowski,Tom,New Jersey,DEMOCRATIC,7
Malliotakis,Nicole,New York,REPUBLICAN,11
Maloney,Carolyn B.,New York,DEMOCRATIC,12
Maloney,Sean Patrick,New York,DEMOCRATIC,18
Manchin,Joe,West Virginia,DEMOCRATIC,
Mann,Tracey,Kansas,REPUBLICAN,1
Manning,Kathy E.,North Carolina,DEMOCRATIC,6
Markey,Edward J.,Massachusetts,DEMOCRATIC,
Marshall,Roger,Kansas,REPUBLICAN,
Massie,Thomas,Kentucky,REPUBLICAN,4
Mast,Brian J.,Florida,REPUBLICAN,21
Matsui,Doris O.,California,DEMOCRATIC,7
McBath,Lucy,Georgia,DEMOCRATIC,7
McCarthy,Kevin,California,REPUBLICAN,20
McCaul,Michael T.,Texas,REPUBLICAN,10
McClain,Lisa C.,Michigan,REPUBLICAN,9
McClintock,Tom,California,REPUBLICAN,5
McCollum,Betty,Minnesota,DEMOCRATIC,4
McConnell,Mitch,Kentucky,REPUBLICAN,
McCormick,Richard,Georgia,REPUBLICAN,6
McEachin,A. Donald,Virginia,DEMOCRATIC,4
McGarvey,Morgan,Kentucky,DEMOCRATIC,3
McGovern,James P.,Massachusetts,DEMOCRATIC,2
McHenry,Patrick T.,North Carolina,REPUBLICAN,10
McKinley,David B.,West Virginia,REPUBLICAN,1
McMorris Rodgers,Cathy,Washington,REPUBLICAN,5
McNerney,Jerry,California,DEMOCRATIC,9
Meeks,Gregory W.,New York,DEMOCRATIC,5
Meijer,Peter,Michigan,REPUBLICAN,3
Menendez,Robert,New Jersey,DEMOCRATIC,8
Menendez,Robert,New Jersey,DEMOCRATIC,
Meng,Grace,New York,DEMOCRATIC,6
Merkley,Jeff,Oregon,DEMOCRATIC,
Meuser,Daniel,Pennsylvania,REPUBLICAN,9
Mfume,Kweisi,Maryland,DEMOCRATIC,7
Miller,Carol D.,West Virginia,REPUBLICAN,1
Miller,Mary E.,Illinois,REPUBLICAN,15
Miller,Max L.,Ohio,REPUBLICAN,7
Miller-Meeks,Mariannette,Iowa,REPUBLICAN,1
Mills,Cory,Florida,REPUBLICAN,7
Molinaro,Marcus J.,New York,REPUBLICAN,19
Moolenaar,John R.,Michigan,REPUBLICAN,2
Mooney,Alexander X.,West Virginia,REPUBLICAN,2
Moore,Barry,Alabama,REPUBLICAN,2
Moore,Blake D.,Utah,REPUBLICAN,1
Moore,Gwen,Wisconsin,DEMOCRATIC,4
Moran,Jerry,Kansas,REPUBLICAN,
Moran,Nathaniel,Texas,REPUBLICAN,1
Morelle,Joseph D.,New York,DEMOCRATIC,25
Moskowitz,Jared,Florida,DEMOCRATIC,23
Moulton,Seth,Massachusetts,DEMOCRATIC,6
Moylan,James C.,Guam,REPUBLICAN,At Large
Mrvan,Frank J.,Indiana,DEMOCRATIC,1
Mullin,Kevin,California,DEMOCRATIC,15
Mullin,Markwayne,Oklahoma,REPUBLICAN,
Murkowski,Lisa,Alaska,REPUBLICAN,
Murphy,Christopher,Connecticut,DEMOCRATIC,
Murphy,Gregory,North Carolina,REPUBLICAN,3
Murphy,Stephanie N.,Florida,DEMOCRATIC,7
Murray,Patty,Washington,DEMOCRATIC,
Nadler,Jerrold,New York,DEMOCRATIC,12
Napolitano,Grace F.,California,DEMOCRATIC,31
Neal,Richard E.,Massachusetts,DEMOCRATIC,1
Neguse,Joe,Colorado,DEMOCRATIC,2
Nehls,Troy E.,Texas,REPUBLICAN,22
Newhouse,Dan,Washington,REPUBLICAN,4
Newman,Marie,Illinois,DEMOCRATIC,3
Nickel,Wiley,North Carolina,DEMOCRATIC,13
Norcross,Donald,New Jersey,DEMOCRATIC,1
Norman,Ralph,South Carolina,REPUBLICAN,5
Norton,Eleanor Holmes,District of Columbia,DEMOCRATIC,At Large
Nunes,Devin,California,REPUBLICAN,22
Nunn,Zachary,Iowa,REPUBLICAN,3
O'Halleran,Tom,Arizona,DEMOCRATIC,1
Obernolte,Jay,California,REPUBLICAN,23
Ocasio-Cortez,Alexandria,New York,DEMOCRATIC,14
Ogles,Andrew,Tennessee,REPUBLICAN,5
Omar,Ilhan,Minnesota,DEMOCRATIC,5
Ossoff,Jon,Georgia,DEMOCRATIC,
Owens,Burgess,Utah,REPUBLICAN,4
Padilla,Alex,California,DEMOCRATIC,
Palazzo,Steven M.,Mississippi,REPUBLICAN,4
Pallone,Frank,New Jersey,DEMOCRATIC,6
Palmer,Gary J.,Alabama,REPUBLICAN,6
Panetta,Jimmy,California,DEMOCRATIC,19
Pappas,Chris,New Hampshire,DEMOCRATIC,1
Pascrell,Bill,New Jersey,DEMOCRATIC,9
Paul,Rand,Kentucky,REPUBLICAN,
Payne,Donald M.,New Jersey,DEMOCRATIC,10
Pelosi,Nancy,California,DEMOCRATIC,11
Peltola,Mary Sattler,Alaska,DEMOCRATIC,At Large
Pence,Greg,Indiana,REPUBLICAN,6
Perez,Marie Gluesenkamp,Washington,DEMOCRATIC,3
Perlmutter,Ed,Colorado,DEMOCRATIC,7
Perry,Scott,Pennsylvania,REPUBLICAN,10
Peters,Gary C.,Michigan,DEMOCRATIC,
Peters,Scott H.,California,DEMOCRATIC,50
Pettersen,Brittany,Colorado,DEMOCRATIC,7
Pfluger,August,Texas,REPUBLICAN,11
Phillips,Dean,Minnesota,DEMOCRATIC,3
Pingree,Chellie,Maine,DEMOCRATIC,1
Plaskett,Stacey E.,Virgin Islands,DEMOCRATIC,At Large
Pocan,Mark,Wisconsin,DEMOCRATIC,2
Porter,Katie,California,DEMOCRATIC,47
Portman,Rob,Ohio,REPUBLICAN,
Posey,Bill,Florida,REPUBLICAN,8
Pressley,Ayanna,Massachusetts,DEMOCRATIC,7
Price,David E.,North Carolina,DEMOCRATIC,4
Quigley,Mike,Illinois,DEMOCRATIC,5
Radewagen,Aumua Amata Coleman,American Samoa,REPUBLICAN,At Large
Ramirez,Delia C.,Illinois,DEMOCRATIC,3
Raskin,Jamie,Maryland,DEMOCRATIC,8
Reed,Jack,Rhode Island,DEMOCRATIC,
Reed,Tom,New York,REPUBLICAN,23
Reschenthaler,Guy,Pennsylvania,REPUBLICAN,14
Rice,Kathleen M.,New York,DEMOCRATIC,4
Rice,Tom,South Carolina,REPUBLICAN,7
Richmond,Cedric L.,Louisiana,DEMOCRATIC,2
Ricketts,Pete,Nebraska,REPUBLICAN,
Risch,James E.,Idaho,REPUBLICAN,
Rogers,Harold,Kentucky,REPUBLICAN,5
Rogers,Mike D.,Alabama,REPUBLICAN,3
Romney,Mitt,Utah,REPUBLICAN,
Rose,John W.,Tennessee,REPUBLICAN,6
Rosen,Jacky,Nevada,DEMOCRATIC,
Rosendale Sr.,Matthew M.,Montana,REPUBLICAN,2
Ross,Deborah K.,North Carolina,DEMOCRATIC,2
Rounds,Mike,South Dakota,REPUBLICAN,
Rouzer,David,North Carolina,REPUBLICAN,7
Roy,Chip,Texas,REPUBLICAN,21
Roybal-Allard,Lucille,California,DEMOCRATIC,40
Rubio,Marco,Florida,REPUBLICAN,
Ruiz,Raul,California,DEMOCRATIC,25
Ruppersberger,C. A. Dutch,Maryland,DEMOCRATIC,2
Rush,Bobby L.,Illinois,DEMOCRATIC,1
Rutherford,John H.,Florida,REPUBLICAN,5
Ryan,Patrick,New York,DEMOCRATIC,18
Ryan,Tim,Ohio,DEMOCRATIC,13
Sablan,Gregorio Kilili Camacho,Northern Mariana Islands,DEMOCRATIC,At Large
Salazar,Maria Elvira,Florida,REPUBLICAN,27
Salinas,Andrea,Oregon,DEMOCRATIC,6
San Nicolas,Michael F. Q.,Guam,DEMOCRATIC,At Large
Sanders,Bernard,Vermont,INDEPENDENT,
Santos,George,New York,REPUBLICAN,3
Sarbanes,John P.,Maryland,DEMOCRATIC,3
Sasse,Ben,Nebraska,REPUBLICAN,
Scalise,Steve,Louisiana,REPUBLICAN,1
Scanlon,Mary Gay,Pennsylvania,DEMOCRATIC,5
Schakowsky,Janice D.,Illinois,DEMOCRATIC,9
Schatz,Brian,Hawaii,DEMOCRATIC,
Schiff,Adam B.,California,DEMOCRATIC,30
Schmitt,Eric,Missouri,REPUBLICAN,
Schneider,Bradley Scott,Illinois,DEMOCRATIC,10
Scholten,Hillary J.,Michigan,DEMOCRATIC,3
Schrader,Kurt,Oregon,DEMOCRATIC,5
Schrier,Kim,Washington,DEMOCRATIC,8
Schumer,Charles E.,New York,DEMOCRATIC,
Schweikert,David,Arizona,REPUBLICAN,1
Scott,Austin,Georgia,REPUBLICAN,8
Scott,David,Georgia,DEMOCRATIC,13
Scott,Rick,Florida,REPUBLICAN,
