first_name,last_name,state,party,district,official_channel,campaign_channel
Franklin,C. Scott,Florida,REPUBLICAN,18,https://www.youtube.com/@CLFSuperPAC,https://www.youtube.com/@franklin.c.joseph3495
Frost,Maxwell,Florida,DEMOCRATIC,10,https://www.youtube.com/@maxwellfrostforcongress170,https://www.youtube.com/@haleytaylorschlitz5393
Fry,Russell,South Carolina,REPUBLICAN,7,https://www.youtube.com/@russellfry7076,https://www.youtube.com/@TheMyrtleBeachSunNews
Fudge,Marcia L.,Ohio,DEMOCRATIC,11,https://www.youtube.com/@RepMarciaLFudge,https://www.youtube.com/@NCSHAvideos
Fulcher,Russ,Idaho,REPUBLICAN,1,https://www.youtube.com/@russfulcher4483,https://www.youtube.com/@RepRussFulcher
Gaetz,Matt,Florida,REPUBLICAN,1,https://www.youtube.com/@RepMattGaetz,https://www.youtube.com/@mattgaetzcampaign5638
Gallagher,Mike,Wisconsin,REPUBLICAN,8,https://www.youtube.com/@mikegallagher2182,https://www.youtube.com/@rep.mikegallagher3103
Gallego,Ruben,Arizona,DEMOCRATIC,3,https://www.youtube.com/@rubengallego6910,https://www.youtube.com/@joshbarnettforaz444
Garamendi,John,California,DEMOCRATIC,8,https://www.youtube.com/@repgaramendi,https://www.youtube.com/@JohnGaramendi
Garbarino,Andrew R.,New York,REPUBLICAN,2,https://www.youtube.com/@andrewgarbarinoforcongress9085,https://www.youtube.com/@rep.andrewgarbarino9275
Garcia,"Jesus G. ""Chuy""",Illinois,DEMOCRATIC,4,https://www.youtube.com/@chuyforcongress2001,https://www.youtube.com/@sspx7464
Garcia,Mike,California,REPUBLICAN,27,https://www.youtube.com/@mikegarciaforcongress4278,https://www.youtube.com/@CongressmanMikeGarcia
Garcia,Robert,California,DEMOCRATIC,42,https://www.youtube.com/@robertgarciaforcongress3278,https://www.youtube.com/@jzstrategies8025
Garcia,Sylvia R.,Texas,DEMOCRATIC,29,https://www.youtube.com/@RepSylviaGarcia,https://www.youtube.com/@sylviagarcia4540
Gibbs,Bob,Ohio,REPUBLICAN,7,https://www.youtube.com/@johngibbsforcongress9454,https://www.youtube.com/@officialgibbsforcongress3305
Gillibrand,Kirsten E.,New York,DEMOCRATIC,,https://www.youtube.com/@KirstenEGillibrand,https://www.youtube.com/@Gillibrand2008
Gimenez,Carlos A.,Florida,REPUBLICAN,28,https://www.youtube.com/@carlosgimenezforcongress2305,https://www.youtube.com/@repcarlosgimenez
